Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1986.0,0.0,4.34,159703,0,1309.77,785.862,0.99,79,1323,0,2
2006.0,0.0,3.64,144591,0,5933.78,3560.268,4.54,80,1307,3,2
2013.0,0.0,4.32,113565,0,8482.43,5089.458,6.49,80,1307,1,2
1977.0,0.0,3.87,134106,0,6447.08,3868.248,4.99,81,1292,7,2
1987.0,0.0,4.23,139052,1,2539.24,1523.544,1.99,82,1276,3,2
2008.0,0.0,4.12,138377,0,4907.7,0.0,3.99,85,1230,0,2
1925.0,0.0,3.98,131856,0,1202.85,0.0,0.99,86,1215,0,2
2002.0,0.0,4.03,151829,0,2417.85,1450.71,1.99,86,1215,3,2
2000.0,0.0,3.97,128406,0,1188.0,0.0,0.99,87,1200,0,2
2010.0,0.0,3.7,127186,0,2388.0,0.0,1.99,87,1200,0,2
1902.0,0.0,4.09,154517,0,2356.16,1413.696,1.99,88,1184,5,2
2011.0,0.0,4.08,136950,0,1157.31,694.386,0.99,89,1169,0,2
1982.0,0.0,4.12,157736,0,1157.31,694.386,0.99,89,1169,0,2
1970.0,0.0,3.89,151789,0,1111.77,0.0,0.99,92,1123,0,2
2002.0,0.0,3.82,129807,0,5603.77,3362.262,4.99,92,1123,0,2
2014.0,0.0,3.92,125847,0,2202.93,1321.758,1.99,93,1107,5,2
2007.0,0.0,4.05,162689,0,6983.24,4189.944,6.49,95,1076,7,2
1997.0,0.0,3.97,133155,0,6885.89,4131.534,6.49,96,1061,7,2
1985.0,0.0,4.29,168001,1,1035.54,621.324,0.99,97,1046,0,2
1989.0,0.0,4.29,141945,0,1019.7,0.0,0.99,98,1030,0,2
1987.0,0.0,4.11,141674,0,6079.85,0.0,5.99,99,1015,0,2
1998.0,0.0,3.69,111856,0,6932.45,4159.47,6.83,99,1015,6,2
2013.0,0.0,3.94,135635,0,985.05,0.0,0.99,101,995,0,2
2005.0,0.0,4.01,169560,0,5068.8,3041.28,5.12,102,990,6,2
2011.0,0.0,4.01,176433,0,2195.2,1317.12,2.24,104,980,0,2
1959.0,0.0,3.99,136886,0,7312.5,4387.5,7.5,105,975,1,2
2011.0,0.0,3.93,144533,0,960.3,0.0,0.99,106,970,0,2
1991.0,0.0,3.88,109692,0,10224.0,6134.4,10.65,108,960,6,2
2011.0,0.0,4.3,188136,0,7670.4,4602.24,7.99,108,960,6,2
